_id,ID,Count,Temp,Hum,timestamp
66670f36a1b633cd7742151b,246,311,30.88,54.88,2024-06-10T17:35:34.000Z
66670f41a1b633cd7742151c,185,312,30.23,55.35,2024-06-10T17:35:45.000Z
66670f55a1b633cd7742151d,185,313,30.23,55.38,2024-06-10T17:36:05.000Z
66670f5ea1b633cd7742151e,246,313,30.9,54.98,2024-06-10T17:36:14.000Z
66670f69a1b633cd7742151f,185,314,30.26,55.38,2024-06-10T17:36:25.000Z
66670f72a1b633cd77421520,246,314,30.87,54.92,2024-06-10T17:36:34.000Z
66670f7da1b633cd77421521,185,315,30.22,55.26,2024-06-10T17:36:45.000Z
66670f86a1b633cd77421522,246,315,30.87,54,2024-06-10T17:36:54.000Z
66670f91a1b633cd77421523,185,316,30.23,55.26,2024-06-10T17:37:05.000Z
66670faea1b633cd77421524,246,317,30.88,54.82,2024-06-10T17:37:34.000Z
66670fb9a1b633cd77421525,185,318,30.2,55.2,2024-06-10T17:37:45.000Z
66670fc2a1b633cd77421526,246,318,30.86,54.92,2024-06-10T17:37:54.000Z
66670fcda1b633cd77421527,185,319,30.19,55.23,2024-06-10T17:38:05.000Z
66670fe1a1b633cd77421528,185,320,30.2,55.32,2024-06-10T17:38:25.000Z
66670feaa1b633cd77421529,246,320,30.88,54.92,2024-06-10T17:38:34.000Z
66670ffea1b633cd7742152a,246,321,30.9,54.98,2024-06-10T17:38:54.000Z
6667101da1b633cd7742152b,185,323,30.22,55.13,2024-06-10T17:39:25.000Z
66671026a1b633cd7742152c,246,323,30.94,55.7,2024-06-10T17:39:34.000Z
66671031a1b633cd7742152d,185,324,30.25,55.67,2024-06-10T17:39:45.000Z
66671045a1b633cd7742152e,185,325,30.26,55.57,2024-06-10T17:40:05.000Z
6667104ea1b633cd7742152f,246,325,30.97,55.2,2024-06-10T17:40:14.000Z
66671059a1b633cd77421530,185,326,30.27,55.7,2024-06-10T17:40:25.000Z
6667106da1b633cd77421531,185,327,30.3,55.51,2024-06-10T17:40:45.000Z
66671076a1b633cd77421532,246,327,31.1,55.2,2024-06-10T17:40:54.000Z
6667108aa1b633cd77421533,246,328,31,55.26,2024-06-10T17:41:14.000Z
66671095a1b633cd77421534,185,329,30.3,55.57,2024-06-10T17:41:25.000Z
666710a9a1b633cd77421535,185,330,30.31,55.57,2024-06-10T17:41:45.000Z
666710b2a1b633cd77421536,246,330,31.1,55.2,2024-06-10T17:41:54.000Z
666710c6a1b633cd77421537,246,331,31.1,55.2,2024-06-10T17:42:14.000Z
666710d1a1b633cd77421538,185,332,30.29,55.63,2024-06-10T17:42:25.000Z
666710daa1b633cd77421539,246,332,30.98,55.32,2024-06-10T17:42:34.000Z
666710e5a1b633cd7742153a,185,333,30.33,55.76,2024-06-10T17:42:45.000Z
666710eea1b633cd7742153b,246,333,31.1,55.32,2024-06-10T17:42:54.000Z
666710f9a1b633cd7742153c,185,334,30.3,55.6,2024-06-10T17:43:05.000Z
66671102a1b633cd7742153d,246,334,31.2,55.2,2024-06-10T17:43:14.000Z
6667110da1b633cd7742153e,185,335,30.33,55.51,2024-06-10T17:43:25.000Z
66671116a1b633cd7742153f,246,335,31.5,55.13,2024-06-10T17:43:34.000Z
66671121a1b633cd77421540,185,336,30.33,55.35,2024-06-10T17:43:45.000Z
6667113ea1b633cd77421541,246,337,31.5,55,2024-06-10T17:44:14.000Z
66671149a1b633cd77421542,185,338,30.36,55.38,2024-06-10T17:44:25.000Z
66671152a1b633cd77421543,246,338,31.5,55.7,2024-06-10T17:44:34.000Z
6667115da1b633cd77421544,185,339,30.37,55.38,2024-06-10T17:44:45.000Z
6667117aa1b633cd77421545,246,340,31.6,55.1,2024-06-10T17:45:14.000Z
66671185a1b633cd77421546,185,341,30.41,55.38,2024-06-10T17:45:25.000Z
6667118ea1b633cd77421547,246,341,31.5,55.1,2024-06-10T17:45:34.000Z
666711a2a1b633cd77421548,246,342,31.5,55.26,2024-06-10T17:45:54.000Z
666711b6a1b633cd77421549,246,343,31.5,55.17,2024-06-10T17:46:14.000Z
